,stat
Cluster-93.0,0.123240185
Cluster-125.0,0.122635066
Cluster-281.0,0.122814528
Cluster-308.0,0.122598704
Cluster-404.1,0.123014966
Cluster-489.0,0.123279216
Cluster-533.0,0.122331578
Cluster-534.0,0.122562057
Cluster-632.1,0.122163608
Cluster-632.3,0.211124317
Cluster-2070.0,0.140189812
Cluster-2529.3,0.225431318
Cluster-2536.0,0.126680206
Cluster-2710.1,0.37735909
Cluster-2710.5,0.133489592
Cluster-2720.0,0.187896574
Cluster-2997.1,1.482273271
Cluster-3259.0,-0.197131314
Cluster-3259.2,-2.193717574
Cluster-3268.1,-0.545105169
Cluster-3435.0,0.096091223
Cluster-3988.0,0.008090486
Cluster-4341.0,-0.079568896
Cluster-4373.0,-0.551010301
Cluster-4925.0,2.836093092
Cluster-5384.0,-0.132411891
Cluster-5401.0,-0.053885916
Cluster-5567.0,0.118885367
Cluster-5698.0,0.117242601
Cluster-5998.1,0.0463757
Cluster-6121.0,-0.984650608
Cluster-6175.1,-0.311226127
Cluster-6510.0,-0.096167481
Cluster-6731.0,0.232903694
Cluster-6890.0,-0.482265667
Cluster-7915.0,-0.079567688
Cluster-8081.1,-0.054644759
Cluster-8127.0,-0.025153766
Cluster-8170.2,1.236299964
Cluster-8579.0,-0.079570952
Cluster-8759.0,0.056838687
Cluster-8951.0,0.254907419
Cluster-9282.0,-0.079569948
Cluster-9409.2,-1.071053917
Cluster-9449.0,0.074221408
Cluster-9608.0,-0.159634567
Cluster-10185.0,-0.139491095
Cluster-10501.0,0.047513151
Cluster-10726.1,0.074832067
Cluster-10737.0,0.192344664
Cluster-10842.0,2.743756853
Cluster-10892.0,1.817123143
Cluster-10903.0,-0.079575836
Cluster-10904.2,-1.036386066
Cluster-10907.0,0.211832562
Cluster-10913.1,0.098249007
Cluster-11300.0,0.103721621
Cluster-11404.3,1.380537246
Cluster-11492.0,2.582517696
Cluster-12162.0,-0.122819477
Cluster-12207.0,0.347163257
Cluster-12465.1,0.037716892
Cluster-12481.0,-0.079608852
Cluster-12673.1,1.328651359
Cluster-12706.0,0.353668706
Cluster-12890.0,0.06134523
Cluster-12913.0,-0.983104722
Cluster-12913.1,-1.220308767
Cluster-12926.2,0.188211899
Cluster-12971.2,0.954522055
Cluster-13025.0,0.019750151
Cluster-13035.2,0.207877747
Cluster-13066.1,-0.237148906
Cluster-13101.0,-1.238963307
Cluster-13101.1,-1.148910735
Cluster-13124.0,-0.079572129
Cluster-13131.0,1.055288016
Cluster-13131.1,1.247521615
Cluster-13194.0,0.236952347
Cluster-13370.0,0.305920705
Cluster-13435.0,-1.094562146
Cluster-13450.0,-0.092599405
Cluster-13546.3,1.392310315
Cluster-13576.3,-0.639589095
Cluster-13576.4,1.197212787
Cluster-13583.0,0.442677916
Cluster-13704.0,0.238990143
Cluster-13716.0,0.389810569
Cluster-13775.4,-0.30851146
Cluster-13912.0,-0.770574089
Cluster-13930.0,0.441340466
Cluster-14126.0,0.198348111
Cluster-14247.0,0.567370215
Cluster-14435.1,1.980695313
Cluster-14442.1,2.103742912
Cluster-14455.1,1.460964198
Cluster-14493.1,1.462304655
Cluster-14519.1,0.626209109
Cluster-14523.0,0.287151349
Cluster-14546.1,-4.008499642
Cluster-14593.3,1.265511152
Cluster-14609.1,0.202787964
Cluster-14687.0,0.236724451
Cluster-14692.1,-0.155814104
Cluster-14702.1,1.442795667
Cluster-14778.0,-0.074338321
Cluster-14817.0,0.099997413
Cluster-14996.1,-0.158879779
Cluster-15020.0,-0.736040507
Cluster-15117.0,-0.04956275
Cluster-15176.0,-1.159570146
Cluster-15186.1,-0.779815145
Cluster-15270.2,-0.096556953
Cluster-15424.0,0.439208195
Cluster-15574.0,0.802533414
Cluster-15574.1,1.064364605
Cluster-15574.2,-0.564094644
Cluster-15578.0,0.109251361
Cluster-15681.0,0.037126869
Cluster-15685.0,0.570553662
Cluster-15695.1,0.170342048
Cluster-15695.2,0.112681197
Cluster-15734.0,0.038756221
Cluster-15759.0,0.583572174
Cluster-15853.0,0.390791275
Cluster-15929.1,0.363600525
Cluster-15980.1,-0.196703256
Cluster-15984.1,0.301872917
Cluster-16001.0,0.385828658
Cluster-16040.1,-0.852427774
Cluster-16046.1,-0.11359992
Cluster-16051.1,0.081015999
Cluster-16082.2,0.377882581
Cluster-16082.4,-0.637370455
Cluster-16089.0,0.157179781
Cluster-16129.0,0.262367446
Cluster-16150.2,0.294293371
Cluster-16162.1,-0.259458667
Cluster-16195.0,1.712859014
Cluster-16253.1,0.469456756
Cluster-16257.1,0.140649785
Cluster-16276.0,-0.597622058
Cluster-16309.0,1.276806753
Cluster-16322.0,0.055161475
Cluster-16356.0,0.100006444
Cluster-16418.0,0.100732458
Cluster-16456.0,0.505754901
Cluster-16458.0,-0.033438766
Cluster-16481.0,0.125354042
Cluster-16500.0,0.286778206
Cluster-16531.0,0.949730819
Cluster-16531.1,0.954107722
Cluster-16531.2,-1.569095733
Cluster-16538.0,-1.118178646
Cluster-16547.0,-0.314783698
Cluster-16577.0,0.169520985
Cluster-16597.1,-0.261002735
Cluster-16696.0,0.518924323
Cluster-16700.1,0.819387463
Cluster-16797.1,-0.055948383
Cluster-16892.2,0.288053791
Cluster-16906.0,0.205857488
Cluster-16968.0,-0.476681661
Cluster-16981.3,2.392364305
Cluster-16981.4,0.890037921
Cluster-17022.0,-0.115794647
Cluster-17088.1,0.378989829
Cluster-17149.0,1.771200513
Cluster-17230.0,3.518868394
Cluster-17258.0,1.635670304
Cluster-17271.0,0.238268291
Cluster-17397.0,1.154225579
Cluster-17399.2,2.207153133
Cluster-17409.1,-0.627984923
Cluster-17434.1,1.940792863
Cluster-17461.0,-0.055414356
Cluster-17478.0,-0.09674549
Cluster-17506.1,-0.205395844
Cluster-17514.1,1.101098882
Cluster-17577.0,0.246457238
Cluster-17595.0,-0.045795739
Cluster-17622.0,0.824609937
Cluster-17660.0,0.100392572
Cluster-17664.0,0.643887244
Cluster-17675.0,0.441351404
Cluster-17700.0,-0.071903456
Cluster-17872.0,0.361590307
Cluster-17908.1,-0.074206972
Cluster-18154.0,0.310167443
Cluster-18218.0,0.679809503
Cluster-18296.0,-2.035214506
Cluster-18303.0,0.494088697
Cluster-18374.3,-0.39889009
Cluster-18384.0,-0.012075967
Cluster-18402.0,0.387403193
Cluster-18471.0,0.931434859
Cluster-18471.1,1.63344359
Cluster-18475.1,0.222113151
Cluster-18478.0,0.071469317
Cluster-18482.1,1.901903634
Cluster-18492.0,-0.227323698
Cluster-18514.0,0.100606529
Cluster-18517.0,-0.833164801
Cluster-18519.0,0.118253472
Cluster-18587.0,1.019729599
Cluster-18600.1,1.445608946
Cluster-18620.1,0.997013716
Cluster-18637.0,0.913516506
Cluster-18661.0,0.580182818
Cluster-18723.0,0.136946429
Cluster-18735.0,0.145562572
Cluster-18778.0,0.1759144
Cluster-19023.0,0.506690686
Cluster-19082.0,-0.168300322
Cluster-19154.0,0.425485038
Cluster-19199.0,0.146669444
Cluster-19215.2,1.563624029
Cluster-19246.0,0.033693191
Cluster-19262.2,0.144018707
Cluster-19305.0,-0.062480089
Cluster-19334.0,1.448450137
Cluster-19342.0,0.158569514
Cluster-19367.0,0.093878795
