,stat
Cluster-19394.0,-0.045062151
Cluster-19397.2,0.30210733
Cluster-19452.1,0.721144299
Cluster-19467.0,0.098336187
Cluster-19505.0,-1.585506156
Cluster-19521.0,-0.128998886
Cluster-19558.1,0.351625578
Cluster-19580.0,1.524345759
Cluster-19599.1,-0.235711563
Cluster-19622.0,-0.129714717
Cluster-19625.0,-0.476308969
Cluster-19639.0,0.403994053
Cluster-19677.0,2.553203399
Cluster-19711.0,0.14367146
Cluster-19765.1,0.324258682
Cluster-19779.1,0.245636423
Cluster-19907.1,-0.5209081
Cluster-19915.0,0.061762514
Cluster-19932.0,-0.064335615
Cluster-19960.0,0.494804612
Cluster-19980.0,1.700888272
Cluster-19998.0,-0.138778928
Cluster-20010.0,-0.510564041
Cluster-20016.0,-0.058733107
Cluster-20018.7,-1.022730594
Cluster-20018.8,-0.998284445
Cluster-20033.0,0.077086403
Cluster-20036.0,0.010776272
Cluster-20042.1,-0.548217697
Cluster-20065.0,0.120247316
Cluster-20102.0,4.22447034
Cluster-20117.0,-0.081673385
Cluster-20141.0,0.06927074
Cluster-20162.0,-0.798861898
Cluster-20178.0,0.098929342
Cluster-20179.0,0.179152435
Cluster-20218.0,0.272695999
Cluster-20251.1,0.768705667
Cluster-20252.0,-0.200366824
Cluster-20284.0,0.134807914
Cluster-20293.0,1.089889599
Cluster-20323.0,0.349703886
Cluster-20325.0,0.123305792
Cluster-20331.0,2.054183936
Cluster-20348.0,0.183257527
Cluster-20474.2,1.066952383
Cluster-20492.4,0.781642066
Cluster-20503.0,-0.155694347
Cluster-20504.2,-0.383952672
Cluster-20522.0,0.645995877
Cluster-20530.0,0.170143194
Cluster-20542.1,-1.600588884
Cluster-20564.1,0.136254903
Cluster-20589.2,0.877804946
Cluster-20613.0,0.38168533
Cluster-20613.1,-0.615382093
Cluster-20619.1,0.577353536
Cluster-20619.4,-0.287063884
Cluster-20627.1,0.353162487
Cluster-20632.1,0.703414295
Cluster-20635.1,0.174882363
Cluster-20688.0,0.994036767
Cluster-20695.0,-0.081669037
Cluster-20761.0,-0.082069822
Cluster-20780.0,-0.406384959
Cluster-20825.0,0.277217765
Cluster-20827.0,-0.237868077
Cluster-20841.0,-0.202494823
Cluster-20882.0,0.120294995
Cluster-20895.0,0.581500587
Cluster-20907.0,0.197022601
Cluster-20910.0,0.607771103
Cluster-20941.0,0.74583359
Cluster-20950.2,-1.22155459
Cluster-20953.0,0.419760685
Cluster-20968.0,0.103085267
Cluster-20971.0,-0.258229721
Cluster-20971.1,0.288371101
Cluster-20980.1,0.380811743
Cluster-21002.0,-0.014364814
Cluster-21033.0,0.338495033
Cluster-21055.1,-0.218881114
Cluster-21058.0,0.297590554
Cluster-21068.0,-0.091683894
Cluster-21074.0,0.354979377
Cluster-21139.1,-0.067881831
Cluster-21139.3,0.739253646
Cluster-21148.0,-0.282618525
Cluster-21160.0,0.291395418
Cluster-21160.1,2.099043809
Cluster-21161.0,1.169690837
Cluster-21198.1,-0.17390914
Cluster-21206.0,-1.238155871
Cluster-21207.0,0.075463321
Cluster-21210.0,-0.076432925
Cluster-21219.0,0.627436785
Cluster-21221.0,0.33327619
Cluster-21250.0,1.216206007
Cluster-21255.0,4.072146977
Cluster-21263.0,-0.044250778
Cluster-21267.0,-0.439246948
Cluster-21275.0,-0.560427918
Cluster-21277.2,0.587995953
Cluster-21354.0,-0.314112152
Cluster-21360.1,-0.310652564
Cluster-21361.0,0.401200121
Cluster-21364.4,-0.591978037
Cluster-21364.5,-1.885677545
Cluster-21380.0,0.505057677
Cluster-21394.1,-0.175538327
Cluster-21410.0,-0.121322782
Cluster-21418.0,-0.053419135
Cluster-21426.0,0.009909298
Cluster-21443.0,0.267146191
Cluster-21444.0,-0.059100301
Cluster-21446.0,0.859246333
Cluster-21449.0,-0.155074545
Cluster-21470.0,-0.250214678
Cluster-21470.2,0.097595925
Cluster-21477.0,0.113212208
Cluster-21482.0,0.019896074
Cluster-21489.0,-0.361254647
Cluster-21490.0,0.030848653
Cluster-21495.1,-0.246606284
Cluster-21578.0,-0.111490353
Cluster-21587.0,-0.399637879
Cluster-21591.0,0.419756481
Cluster-21606.2,-0.607162912
Cluster-21678.1,-0.573065556
Cluster-21713.0,-0.741915421
Cluster-21717.1,1.080590284
Cluster-21722.0,-0.098133119
Cluster-21728.3,-0.311746499
Cluster-21764.0,-0.384577072
Cluster-21774.0,-0.020193994
Cluster-21794.1,0.036778172
Cluster-21814.0,0.413131238
Cluster-21856.0,0.057500105
Cluster-21879.0,-0.066096772
Cluster-21886.0,0.237265901
Cluster-21899.0,0.243928034
Cluster-21907.0,0.528179429
Cluster-21978.3,0.177539659
Cluster-22024.0,1.105711888
Cluster-22029.0,0.544183191
Cluster-22079.0,-0.074908181
Cluster-22108.0,0.066882168
Cluster-22112.0,0.012633687
Cluster-22153.0,1.925760034
Cluster-22156.0,-0.084125894
Cluster-22165.0,0.557549389
Cluster-22169.1,-0.220529066
Cluster-22184.2,0.855407341
Cluster-22200.2,-0.25570762
Cluster-22206.3,0.901657058
Cluster-22221.1,2.648152491
Cluster-22240.0,0.16540107
Cluster-22273.1,-0.013673197
Cluster-22318.2,-0.267836304
Cluster-22336.0,-0.209488645
Cluster-22337.0,0.073670613
Cluster-22344.0,0.084301321
Cluster-22360.0,0.150049612
Cluster-22383.1,0.948896761
Cluster-22490.0,-0.540610721
Cluster-22532.0,0.340116559
Cluster-22569.3,-0.702005448
Cluster-22598.0,-0.170923529
Cluster-22605.0,0.544497787
Cluster-22607.0,-0.083193381
Cluster-22618.0,0.909769828
Cluster-22619.0,0.086929638
Cluster-22623.1,0.27032003
Cluster-22715.0,0.682199174
Cluster-22728.0,-0.138159846
Cluster-22741.0,0.378729696
Cluster-22757.0,0.354099348
Cluster-22792.0,-0.121470432
Cluster-22818.1,0.746002769
Cluster-22890.0,-0.004366688
Cluster-22910.0,0.182445683
Cluster-22947.0,0.673771449
Cluster-22968.0,0.342008286
Cluster-22970.2,-0.708611497
Cluster-22972.0,0.08841555
Cluster-22975.0,0.144332072
Cluster-22990.2,0.874918649
Cluster-23021.1,1.471413941
Cluster-23038.0,-0.64626998
Cluster-23072.0,1.368765552
Cluster-23077.0,0.333824874
Cluster-23084.1,0.265105022
Cluster-23088.1,-0.120989545
Cluster-23095.0,-0.065265295
Cluster-23098.3,-0.501979364
Cluster-23102.1,3.279984149
Cluster-23134.0,0.579633057
Cluster-23135.0,0.250912531
Cluster-23136.0,-0.130004939
Cluster-23136.3,-0.917988383
Cluster-23169.0,-0.011799705
Cluster-23182.2,0.151936715
Cluster-23202.1,-0.185244774
Cluster-23205.0,-0.40246558
Cluster-23315.0,0.219704715
Cluster-23343.1,0.743305293
Cluster-23372.1,1.861959486
Cluster-23375.3,0.045874323
Cluster-23390.1,-0.460832949
Cluster-23401.0,-0.819533299
Cluster-23420.1,0.265278259
Cluster-23493.0,-0.343024862
Cluster-23517.0,0.079616655
Cluster-23517.1,0.290992847
Cluster-23534.0,-0.052818776
Cluster-23536.0,0.04054113
Cluster-23550.1,0.122297826
Cluster-23573.1,0.755582304
Cluster-23588.3,0.109004363
Cluster-23632.0,-0.214223566
Cluster-23648.0,-0.083425711
Cluster-23684.0,0.455371817
Cluster-23686.2,-0.555497591
Cluster-23707.1,-0.296650141
Cluster-23707.2,-0.093916387
Cluster-23726.1,0.206763278
Cluster-23742.1,0.281575504
Cluster-23754.0,-0.115542688
Cluster-23757.1,0.893681919
Cluster-23772.0,-0.240144978
Cluster-23801.3,-1.084524363
Cluster-23806.0,0.721987756
Cluster-23832.1,1.575601437
Cluster-23836.0,0.492963396
Cluster-23917.0,0.588261212
Cluster-23928.0,-0.300100991
Cluster-23948.4,0.763118045
Cluster-23956.0,-0.563151461
Cluster-23960.1,0.304699626
Cluster-23967.0,-0.253251615
Cluster-23974.0,1.290021932
Cluster-24008.0,-0.541107771
Cluster-24024.1,-0.095097123
Cluster-24050.0,1.237149864
Cluster-24061.0,-0.329109233
Cluster-24068.1,0.156630608
Cluster-24093.0,-0.356067212
Cluster-24095.0,-0.180755129
Cluster-24128.0,-0.08492222
Cluster-24192.3,-0.319540553
Cluster-24241.0,1.658964182
Cluster-24257.0,-0.214515661
Cluster-24290.0,0.409777537
Cluster-24330.1,-0.988318391
Cluster-24366.3,2.297645027
Cluster-24377.0,0.06471857
Cluster-24383.0,-0.200738275
Cluster-24392.0,0.118457642
Cluster-24393.0,0.255491609
Cluster-24406.0,-0.001199852
Cluster-24424.0,1.466890217
Cluster-24427.0,0.034387253
Cluster-24440.1,-0.289005933
Cluster-24451.1,-0.448150232
Cluster-24463.0,0.693776174
Cluster-24463.1,0.479607521
Cluster-24465.0,-0.220050062
Cluster-24474.3,0.308798093
Cluster-24474.4,1.048062278
Cluster-24475.1,-0.067191847
Cluster-24492.2,0.741953011
Cluster-24535.0,-0.120434941
Cluster-24539.0,0.328011026
Cluster-24553.0,0.213518465
Cluster-24572.3,-1.407000013
Cluster-24572.4,1.103820382
Cluster-24587.0,0.041473456
Cluster-24588.0,0.106530807
Cluster-24663.0,0.063468244
Cluster-24683.1,2.260217693
Cluster-24719.0,0.125102485
Cluster-24747.0,0.161150953
Cluster-24771.1,-1.366074212
Cluster-24783.3,-0.150350273
Cluster-24798.0,0.038066421
Cluster-24820.0,0.201443052
Cluster-24829.0,-0.48607371
Cluster-24831.0,0.120101874
Cluster-24872.1,1.63941104
Cluster-24906.1,-0.110002302
Cluster-24916.0,-0.286589865
Cluster-24927.0,0.556770188
Cluster-24970.1,-0.538825971
Cluster-24978.0,0.959398791
Cluster-24978.1,-1.900628256
Cluster-24978.4,-1.985725716
Cluster-24993.0,-0.187853864
Cluster-24996.1,-0.07259156
Cluster-25016.0,0.040584665
Cluster-25057.0,-0.058284597
Cluster-25063.0,1.234367581
Cluster-25112.5,-0.626884262
Cluster-25128.1,2.168014482
Cluster-25140.0,-0.341149661
Cluster-25156.1,-1.585528325
Cluster-25179.1,0.032163247
Cluster-25184.0,-0.824172074
Cluster-25212.0,-0.132515076
Cluster-25219.0,-0.460273226
Cluster-25220.0,0.184440111
Cluster-25232.1,-0.419890576
Cluster-25232.4,-0.272041743
Cluster-25232.7,1.250647369
Cluster-25232.8,-0.299546002
Cluster-25232.9,-0.701970703
Cluster-25233.0,-0.093762798
Cluster-25238.0,-0.496937872
Cluster-25255.0,-0.114337977
Cluster-25255.2,0.468269812
Cluster-25278.0,0.683254447
Cluster-25284.0,-0.220402145
Cluster-25290.1,-0.555623985
Cluster-25290.3,-0.712213923
Cluster-25298.1,-0.636157577
Cluster-25298.2,-0.601650768
Cluster-25301.0,-0.802994265
Cluster-25301.1,1.173337253
Cluster-25302.0,-0.397993148
Cluster-25307.0,0.467479093
Cluster-25310.0,-0.257422675
Cluster-25364.0,0.189105977
Cluster-25367.0,-0.470657423
Cluster-25370.0,0.080488616
Cluster-25372.1,-0.544349809
Cluster-25373.1,-1.449917576
Cluster-25385.0,0.115333177
Cluster-25428.0,0.178925564
Cluster-25450.1,-0.232090977
Cluster-25451.0,-0.257790348
Cluster-25461.0,-0.04846255
Cluster-25474.0,0.242627429
Cluster-25514.0,-1.256557254
Cluster-25519.0,-0.167158692
Cluster-25529.0,0.148286412
Cluster-25542.0,0.018412134
Cluster-25552.0,-0.221357567
Cluster-25557.0,0.330377641
Cluster-25565.1,0.028862031
Cluster-25567.1,-0.844530443
Cluster-25574.0,-2.040020805
Cluster-25589.1,-1.942015183
Cluster-25597.1,-0.499758323
Cluster-25624.0,0.966102179
Cluster-25640.0,-0.217909834
Cluster-25657.0,-0.287233238
Cluster-25681.0,0.014478251
Cluster-25695.3,1.972659434
Cluster-25706.0,0.893139748
Cluster-25713.0,0.023459212
Cluster-25718.0,-0.188539554
Cluster-25737.0,0.14899316
Cluster-25762.1,1.827655091
Cluster-25764.1,0.231672269
Cluster-25771.1,-0.396384739
Cluster-25784.1,-0.962437624
Cluster-25793.0,-1.351775374
Cluster-25807.0,0.600592759
Cluster-25829.0,0.197654475
Cluster-25853.0,0.281432156
Cluster-25877.1,-1.212853957
Cluster-25891.2,-0.977759655
Cluster-25891.4,0.515584533
Cluster-25891.7,-0.007898549
Cluster-25918.0,0.419089964
Cluster-25929.1,-1.532026335
Cluster-25930.0,1.434947224
Cluster-25952.0,0.497334675
Cluster-25956.0,-0.396408593
Cluster-25966.4,0.09487243
Cluster-25969.0,0.150318394
Cluster-25977.0,0.105001206
Cluster-26045.1,-0.188169676
Cluster-26051.3,-0.148149002
Cluster-26054.0,2.21473499
Cluster-26056.0,0.160235902
Cluster-26062.0,-1.041275418
Cluster-26063.0,-0.049552667
Cluster-26132.0,-1.699148743
Cluster-26132.1,-0.422854738
Cluster-26132.3,0.134858981
Cluster-26132.5,-0.58091873
Cluster-26161.1,0.34880883
Cluster-26167.0,-0.476820759
Cluster-26167.1,-0.276095531
Cluster-26232.0,0.580629059
Cluster-26237.2,-1.348157823
Cluster-26243.0,0.378026328
Cluster-26249.1,1.245623433
Cluster-26254.0,-0.832934212
Cluster-26287.1,0.255683943
Cluster-26307.0,1.073438772
Cluster-26314.1,0.825561249
Cluster-26317.0,-0.327135916
Cluster-26341.2,-0.835068513
Cluster-26349.1,-0.11996897
Cluster-26382.0,-0.206003204
Cluster-26390.0,0.202924232
Cluster-26424.0,-0.017951509
Cluster-26429.0,-0.032700798
Cluster-26440.0,-0.106852781
Cluster-26446.0,0.721519526
Cluster-26446.1,-0.468193054
Cluster-26459.1,0.393425728
Cluster-26460.2,-0.532541588
Cluster-26460.3,-1.145449706
Cluster-26462.2,1.76254886
Cluster-26476.2,-1.589619663
Cluster-26484.0,0.066222513
Cluster-26495.0,-0.217441758
Cluster-26501.0,-0.025261733
Cluster-26515.0,-0.190113563
Cluster-26518.1,0.445811503
Cluster-26522.0,0.417392178
Cluster-26528.1,-0.429149044
Cluster-26566.0,0.118568798
Cluster-26570.0,-0.231353487
Cluster-26576.0,-0.950371882
Cluster-26595.0,0.116531065
Cluster-26621.0,-0.876008521
Cluster-26629.0,4.298610556
Cluster-26631.0,0.231684438
Cluster-26671.0,0.130810188
Cluster-26684.0,-0.032797152
Cluster-26691.0,0.221460375
Cluster-26693.0,0.423433873
Cluster-26742.0,0.328175125
Cluster-26797.0,-0.173640088
Cluster-26805.0,0.95907494
Cluster-26823.0,0.307070353
Cluster-26838.0,-0.087223788
Cluster-26839.3,-0.417747257
Cluster-26856.1,-0.040267789
Cluster-26894.0,0.996369346
Cluster-26897.0,-0.234490429
Cluster-26929.0,0.379651244
Cluster-26953.0,0.054874898
Cluster-26972.0,0.287861986
Cluster-26981.0,-1.574852755
Cluster-27018.0,-0.311150186
Cluster-27018.3,-1.375096409
Cluster-27022.0,-0.520942945
Cluster-27048.0,0.023779648
Cluster-27065.0,0.597542946
Cluster-27082.1,0.098660111
Cluster-27108.1,0.143271612
Cluster-27110.0,0.907805578
Cluster-27114.0,-0.205059512
Cluster-27131.1,0.480424833
Cluster-27139.0,3.461881947
Cluster-27139.1,-0.081418843
Cluster-27139.2,-0.643332035
Cluster-27143.0,0.026002174
Cluster-27188.0,-0.066166073
Cluster-27190.0,0.278911514
Cluster-27248.0,-0.237492212
Cluster-27277.0,0.467531933
Cluster-27300.0,0.134724896
Cluster-27305.0,-0.906186434
Cluster-27329.0,0.602811796
Cluster-27395.1,0.690524999
Cluster-27402.1,-0.026798938
Cluster-27430.0,-0.148608885
Cluster-27444.1,0.60256581
Cluster-27448.1,-0.363888688
Cluster-27476.0,0.087510253
Cluster-27477.0,-0.691433044
Cluster-27489.7,-1.374261012
Cluster-27516.0,-0.128680644
Cluster-27522.0,0.234993755
Cluster-27522.2,0.609108013
Cluster-27536.2,0.261008715
Cluster-27539.0,-0.112430385
Cluster-27555.0,0.166543932
Cluster-27559.1,-0.160917227
Cluster-27565.0,0.656781737
Cluster-27601.0,0.419332158
Cluster-27608.0,0.491561805
Cluster-27615.0,-0.394111948
Cluster-27642.2,-0.119431481
Cluster-27646.0,0.230833893
Cluster-27647.0,0.533184681
Cluster-27648.0,-0.802469765
Cluster-27653.2,0.320904075
Cluster-27663.0,0.214278899
Cluster-27673.0,-0.148490395
Cluster-27674.0,-0.145497831
Cluster-27677.0,-0.413948675
Cluster-27677.1,-1.409318273
Cluster-27678.1,-0.394995305
Cluster-27681.3,0.263806387
Cluster-27768.0,0.804483601
Cluster-27775.1,0.041129537
Cluster-27781.0,0.908966408
Cluster-27792.0,-1.009600362
Cluster-27796.0,0.751415537
Cluster-27823.0,0.022123249
Cluster-27841.1,-0.785867926
Cluster-27845.0,2.10774029
Cluster-27854.1,-0.524336197
Cluster-27864.0,-0.152727813
Cluster-27864.1,-1.199367554
Cluster-27886.1,-0.560149965
Cluster-27889.0,1.131195679
Cluster-27901.0,0.342274325
Cluster-27902.1,0.562086021
Cluster-27908.1,-0.315452051
Cluster-27957.3,1.240181804
Cluster-27965.0,-0.182249206
Cluster-27981.0,-0.190315218
Cluster-27988.0,0.099987967
Cluster-27995.1,-0.647603066
Cluster-27998.1,1.204841039
Cluster-28006.0,0.029961338
Cluster-28027.0,-0.116604695
Cluster-28034.0,1.000520612
Cluster-28050.0,0.004705122
Cluster-28076.2,0.419047016
Cluster-28080.0,0.13299156
Cluster-28083.0,0.122730763
Cluster-28091.0,0.206233361
Cluster-28099.0,0.616961699
Cluster-28118.0,-0.768394417
Cluster-28118.1,-0.267274439
Cluster-28144.0,0.376845422
Cluster-28146.0,-0.560783401
Cluster-28158.0,-0.410764572
Cluster-28184.1,1.154502632
Cluster-28198.0,1.390730694
Cluster-28214.0,0.017396929
Cluster-28219.1,0.410499909
Cluster-28221.1,-0.535024676
Cluster-28237.0,0.341266765
Cluster-28267.2,-1.485601897
Cluster-28267.4,-1.036910377
Cluster-28273.0,0.764976468
Cluster-28306.0,2.613421382
Cluster-28318.0,1.004805585
Cluster-28332.0,1.870584527
Cluster-28337.0,0.194817435
Cluster-28350.1,0.150441279
Cluster-28350.3,-0.060392748
Cluster-28353.0,-0.047593022
Cluster-28423.2,0.379787221
Cluster-28426.2,-0.992799147
Cluster-28477.3,0.555086218
Cluster-28477.8,1.119631351
Cluster-28489.0,-2.215003251
Cluster-28494.0,0.117093029
Cluster-28528.1,0.132740091
Cluster-28533.0,1.889059355
Cluster-28564.1,-0.778898844
Cluster-28569.0,-0.563814371
Cluster-28581.0,-0.635777336
Cluster-28583.1,0.376227327
Cluster-28588.0,-0.055314017
Cluster-28606.3,0.817624292
Cluster-28610.0,0.375666722
Cluster-28610.1,-0.028569133
Cluster-28610.3,-1.631244618
Cluster-28613.1,-0.248490585
Cluster-28624.0,-0.205765109
Cluster-28624.1,-0.014091822
Cluster-28638.0,-0.062578572
Cluster-28647.0,0.318456191
Cluster-28655.0,0.795539894
Cluster-28666.0,0.220406096
Cluster-28669.0,0.215404879
Cluster-28688.0,0.409619526
Cluster-28696.1,1.341905357
Cluster-28697.1,-1.758504808
Cluster-28699.0,1.150452997
Cluster-28710.1,1.235170359
Cluster-28724.0,0.076199844
Cluster-28732.0,1.235928258
Cluster-28746.0,0.336868502
Cluster-28780.1,0.548661758
Cluster-28783.0,0.021973534
Cluster-28802.0,0.722075055
Cluster-28819.0,-0.037857611
Cluster-28822.0,0.284635127
Cluster-28829.1,0.598261102
Cluster-28845.1,0.144406761
Cluster-28852.0,0.443685032
Cluster-28862.0,1.531649242
Cluster-28867.0,0.233784453
Cluster-28871.1,0.128913483
Cluster-28877.0,0.145370985
Cluster-28897.0,-0.595420446
Cluster-28897.1,-1.473021303
Cluster-28919.2,0.602678864
Cluster-28930.0,1.755362141
Cluster-28939.0,1.580479153
Cluster-28947.0,0.550535652
Cluster-28948.0,0.313630484
Cluster-28985.0,4.35868241
Cluster-28988.1,-0.032882631
Cluster-28995.0,0.153072566
Cluster-29011.0,0.305732858
Cluster-29026.0,0.067488285
Cluster-29043.0,0.349980535
Cluster-29047.0,0.503565917
Cluster-29086.0,-0.088287452
Cluster-29086.1,1.093911281
Cluster-29089.0,-0.042915625
Cluster-29092.0,3.062296382
Cluster-29095.3,-0.530989365
Cluster-29102.0,-0.313057186
Cluster-29103.1,0.299152835
Cluster-29106.0,-0.346186622
Cluster-29174.1,1.676017193
Cluster-29174.3,0.524511954
Cluster-29189.1,-0.40527808
Cluster-29192.0,-0.062799273
Cluster-29198.0,0.207942158
Cluster-29220.0,-1.203382029
Cluster-29224.1,0.542645842
Cluster-29231.0,-0.189653581
Cluster-29254.0,0.542806732
Cluster-29281.0,0.192480711
